# Const.Quarks: yproj=  0.740 ycut/yproj=  1.000
# time(fm/c) N(det) px(dir) v1 v2 eps eps(t) px^2 py^2 pt^2 alp Edir N(det-all) N(all) px(dir) v1 v2
# 1          2      3       4  5  6   7      8    9    10   11  12         13     14      15 16
  21.00  3.00E-01 -9.03E-02 -6.06E-01 -1.25E-02  4.35E-01  4.32E-01  1.34E-02  9.73E-03  1.45E-01  6.46E-02  1.00E+00  4.00E-01  1.00E+00 -4.39E-02 -2.40E-01  1.09E-01
  21.30  6.00E-01 -7.84E-03 -1.46E-01 -7.50E-02 -6.70E-02 -6.24E-02  3.36E-02  2.66E-02  2.22E-01  1.29E-01  1.00E+00  6.00E-01  1.00E+00 -7.84E-03 -1.46E-01 -7.50E-02
  21.60  8.00E-01  2.91E-02  4.96E-02  2.13E-01 -4.75E-02 -4.46E-02  2.21E-02  1.59E-02  1.79E-01  9.29E-02  1.00E+00  8.00E-01  1.00E+00  2.91E-02  4.96E-02  2.13E-01
  21.90  6.00E-01 -2.70E-02 -1.90E-01  3.77E-02  3.39E-01  3.39E-01  7.25E-03  2.35E-02  1.55E-01  7.54E-02  1.00E+00  7.00E-01  1.00E+00 -4.31E-02 -2.82E-01  8.78E-02
  22.20  2.00E-01  3.29E-02  2.50E-01 -8.75E-01  2.46E-01  2.50E-01  1.30E-03  1.81E-02  1.29E-01  5.46E-02  1.00E+00  3.00E-01  1.00E+00  5.40E-02  4.85E-01 -3.09E-01
  22.50  3.00E-01 -2.76E-02  4.46E-02 -1.40E-01  2.67E-01  2.59E-01  1.52E-02  2.26E-02  1.85E-01  8.22E-02  1.00E+00  3.00E-01  1.00E+00 -2.76E-02  4.46E-02 -1.40E-01
  22.80  1.00E-01  7.21E-02  6.36E-01 -1.91E-01  9.86E-01  9.85E-01  5.20E-03  7.65E-03  1.13E-01  4.13E-02  1.00E+00  2.00E-01  1.00E+00  9.33E-02  8.11E-01  3.76E-01
  23.10  2.00E-01  2.24E-01  7.76E-01  2.15E-01  4.52E-01  4.55E-01  5.13E-02  3.18E-02  2.88E-01  1.81E-01  1.00E+00  3.00E-01  1.00E+00  2.45E-01  8.40E-01  4.36E-01
  23.40  3.00E-01  1.74E-01  3.90E-01  5.54E-01 -3.24E-01 -3.22E-01  7.51E-02  7.30E-03  2.53E-01  1.57E-01  1.00E+00  4.00E-01  1.00E+00  2.03E-01  5.35E-01  6.35E-01
  23.70  2.00E-01  8.66E-02  3.14E-01 -6.50E-01 -3.23E-01 -3.23E-01  1.36E-02  4.86E-02  2.48E-01  1.46E-01  1.00E+00  2.00E-01  1.00E+00  8.66E-02  3.14E-01 -6.50E-01
  24.00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E-01  1.00E+00  3.66E-02  3.82E-01 -7.08E-01
  24.30  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E-01  1.00E+00 -2.43E-01 -9.96E-01  9.85E-01
